url,city,value,you_save,discount_pct,num_sold,limited_quantity,sold_out,tipped_at,tips_with,started_at,weekday_start,duration,featured,category,likes
http://www.groupon.com/atlanta/deals/buckhead-saloon-atlanta,Atlanta,30,15,50,108,0,0,10:26:00,25,1/3/2011,Mon,1,1,Nightlife,14
http://www.groupon.com/atlanta/deals/european-body-wrap-atlanta,Atlanta,70,35,50,255,0,0,7:26:00,10,1/3/2011,Mon,1,0,Beauty & Spas,20
http://www.groupon.com/atlanta/deals/orchard-hills-golf-club-atlanta,Atlanta,99,54,55,352,0,0,8:41:00,20,1/3/2011,Mon,2,0,Health & Fitness,28
http://www.groupon.com/atlanta/deals/spa-bolena,Atlanta,65,35,54,501,0,0,7:15:00,20,1/3/2011,Mon,1,0,Beauty & Spas,27
http://www.groupon.com/atlanta/deals/the-stovall-house-atlanta,Atlanta,134,67,50,359,1,0,1:50:00,5,1/3/2011,Mon,2,0,Travel,36
http://www.groupon.com/atlanta/deals/indi-denim-atlanta,Atlanta,155,70,45,45,0,0,11:32:00,20,1/4/2011,Tue,1,0,Shopping,8
http://www.groupon.com/atlanta/deals/lightscapes-photography,Atlanta,150,75,50,210,0,0,6:25:00,5,1/4/2011,Tue,1,0,Professional Services,20
http://www.groupon.com/atlanta/deals/livemocha-atlanta,Atlanta,20,10,50,163,1,0,8:32:00,30,1/4/2011,Tue,1,0,Education,33
http://www.groupon.com/atlanta/deals/orange-leaf-frozen-yogurt,Atlanta,10,5,50,823,0,0,7:51:00,100,1/4/2011,Tue,1,0,Food & Drink,15
http://www.groupon.com/atlanta/deals/phoebes-boutique,Atlanta,50,25,50,3,0,0,NULL,15,1/4/2011,Tue,1,0,Shopping,2
http://www.groupon.com/atlanta/deals/seraphim-skin-care-atlanta,Atlanta,135,76,56,545,0,0,8:01:00,50,1/4/2011,Tue,1,1,Beauty & Spas,16
http://www.groupon.com/atlanta/deals/inner-peace-atlanta,Atlanta,40,22,55,95,0,0,8:45:00,20,1/5/2011,Wed,1,0,Health & Fitness,16
http://www.groupon.com/atlanta/deals/papis-grill,Atlanta,10,5,50,4749,0,0,5:30:00,100,1/5/2011,Wed,1,1,Restaurants,258
http://www.groupon.com/atlanta/deals/smile-bright-teeth-whitening-1,Atlanta,99,61,62,2074,1,0,6:55:00,50,1/5/2011,Wed,1,0,Health & Fitness,38
http://www.groupon.com/atlanta/deals/blackthorn-farms-llc-atlanta,Atlanta,160,91,57,145,0,0,0:45:00,5,1/6/2011,Thu,1,0,Arts and Entertainment,31
http://www.groupon.com/atlanta/deals/porto-bello-atlanta,Atlanta,50,25,50,595,0,0,7:00:00,25,1/6/2011,Thu,1,0,Restaurants,24
http://www.groupon.com/atlanta/deals/blue-ridge-helicopters,Atlanta,189,100,53,179,0,0,17:55:00,75,1/7/2011,Fri,3,0,Other,42
http://www.groupon.com/atlanta/deals/book-worm-bookstore,Atlanta,20,11,55,243,0,0,7:40:00,25,1/7/2011,Fri,3,0,Shopping,65
http://www.groupon.com/atlanta/deals/shear-talent-hair-designers-atlanta,Atlanta,55,35,64,99,0,0,9:21:00,20,1/7/2011,Fri,3,0,Beauty & Spas,5
http://www.groupon.com/atlanta/deals/deshotels-arms-atlanta,Atlanta,23,11,48,3026,0,0,5:40:00,25,1/6/2011,Thu,3,0,Arts and Entertainment,136
http://www.groupon.com/atlanta/deals/shape-medical-wellness-center-atlanta-1,Atlanta,175,116,66,348,0,0,6:16:00,200,1/6/2011,Thu,4,1,Health & Fitness,13
http://www.groupon.com/atlanta/deals/genki,Atlanta,30,15,50,4233,0,0,7:30:00,200,1/7/2011,Fri,3,1,Restaurants,55
http://www.groupon.com/atlanta/deals/fitorbit-atlanta,Atlanta,194,134,69,21,1,0,16:00:00,10,1/8/2011,Sat,2,0,Health & Fitness,0
http://www.groupon.com/atlanta/deals/a1-cleaning-extraordinaire,Atlanta,130,81,62,214,1,0,8:45:00,25,1/8/2011,Sat,2,1,Home Services,14
http://www.groupon.com/atlanta/deals/snip-its-1,Atlanta,17,9,53,922,0,0,7:30:00,25,1/8/2011,Sat,2,0,Beauty & Spas,100
http://www.groupon.com/atlanta/deals/capozzis-new-york-pizza-atlanta,Atlanta,15,8,53,1085,0,0,7:20:00,30,1/8/2011,Sat,1,0,Restaurants,30
http://www.groupon.com/atlanta/deals/ping-segars-salon-atlanta,Atlanta,250,151,60,71,1,0,10:31:00,20,1/9/2011,Sun,1,0,Beauty & Spas,6
http://www.groupon.com/atlanta/deals/ccc-atl,Atlanta,30,15,50,37,0,0,9:35:00,15,1/9/2011,Sun,1,0,Shopping,0
http://www.groupon.com/atlanta/deals/jgumbos-atlanta,Atlanta,10,5,50,444,0,0,7:05:00,20,1/9/2011,Sun,1,0,Restaurants,7
http://www.groupon.com/atlanta/deals/fitness-battalion-atlanta-1,Atlanta,140,105,75,315,0,0,10:00:00,50,1/9/2011,Sun,1,0,Health & Fitness,84
http://www.groupon.com/atlanta/deals/plastikos-1,Atlanta,75,40,53,514,1,0,10:10:00,100,1/9/2011,Sun,1,1,Beauty & Spas,12
http://www.groupon.com/atlanta/deals/strong-tower-pilates-atlanta,Atlanta,180,135,75,121,0,0,9:57:00,25,1/10/2011,Mon,2,0,Health & Fitness,36
http://www.groupon.com/atlanta/deals/name-a-star-atlanta,Atlanta,20,11,55,280,0,0,2:21:00,10,1/10/2011,Mon,1,0,Shopping,29
http://www.groupon.com/atlanta/deals/mosaic-atlanta,Atlanta,25,15,60,609,0,0,10:00:00,150,1/10/2011,Mon,2,0,Restaurants,12
http://www.groupon.com/atlanta/deals/pole-la-teaz-atlanta,Atlanta,70,40,57,377,1,0,9:37:00,50,1/10/2011,Mon,2,1,Health & Fitness,75
http://www.groupon.com/atlanta/deals/georgia-pga-atlanta,Atlanta,50,26,52,174,0,0,11:16:00,25,1/11/2011,Tue,1,0,Health & Fitness,17
http://www.groupon.com/atlanta/deals/copper-cove-quick-wash,Atlanta,42,21,50,206,0,0,11:15:00,50,1/11/2011,Tue,1,0,Automotive,5
http://www.groupon.com/atlanta/deals/ageless-remedies-atlanta,Atlanta,125,86,69,890,0,0,9:56:00,40,1/11/2011,Tue,2,0,Beauty & Spas,10
http://www.groupon.com/atlanta/deals/broadway-across-america-atlanta,Atlanta,174,94,54,433,1,0,10:45:00,50,1/11/2011,Tue,2,1,Arts and Entertainment,36
http://www.groupon.com/atlanta/deals/swan-coach-house-restaurant,Atlanta,25,13,52,1923,0,0,8:42:00,200,1/12/2011,Wed,1,1,Restaurants,57
http://www.groupon.com/atlanta/deals/royal-indian-cuisine-atlanta,Atlanta,20,10,50,449,0,0,7:45:00,25,1/12/2011,Wed,1,0,Restaurants,13
http://www.groupon.com/atlanta/deals/the-bead-hive-atlanta,Atlanta,20,10,50,292,0,0,8:41:00,30,1/12/2011,Wed,1,0,Shopping,24
http://www.groupon.com/atlanta/deals/invisalign-atlanta,Atlanta,345,296,86,159,0,0,9:41:00,30,1/12/2011,Wed,1,0,Health & Fitness,6
http://www.groupon.com/atlanta/deals/green-hut-spa,Atlanta,80,40,50,238,0,0,9:36:00,35,1/13/2011,Thu,2,0,Beauty & Spas,15
http://www.groupon.com/atlanta/deals/tah-cha-tea-house-atlanta,Atlanta,48,24,50,715,0,0,8:11:00,50,1/13/2011,Thu,2,1,Restaurants,72
http://www.groupon.com/atlanta/deals/fox-creek-golf-club-atlanta,Atlanta,161,82,51,209,0,0,14:57:00,75,1/13/2011,Thu,2,0,Health & Fitness,16
http://www.groupon.com/atlanta/deals/valentine-weight-loss-center,Atlanta,256,167,65,46,0,0,14:31:00,10,1/14/2011,Fri,3,0,Health & Fitness,15
http://www.groupon.com/atlanta/deals/olive-tree-atlanta,Atlanta,25,13,52,336,0,0,8:11:00,20,1/14/2011,Fri,3,0,Restaurants,41
http://www.groupon.com/atlanta/deals/carolyns-cupcakes,Atlanta,25,13,52,1045,0,0,8:25:00,100,1/14/2011,Fri,3,0,Food & Drink,56
http://www.groupon.com/atlanta/deals/creative-advanced-skin-care-atlanta,Atlanta,1620,1521,94,2511,1,0,7:10:00,50,1/14/2011,Fri,3,1,Beauty & Spas,75
http://www.groupon.com/atlanta/deals/cellar-56-atlanta-1,Atlanta,30,15,50,803,0,0,7:40:00,35,1/15/2011,Sat,2,1,Restaurants,54
http://www.groupon.com/atlanta/deals/gnc-atlanta-sandy-springs,Atlanta,40,21,53,917,0,0,7:36:00,50,1/15/2011,Sat,2,0,Health & Fitness,42
http://www.groupon.com/atlanta/deals/fresche-salon-atlanta,Atlanta,25,13,52,278,0,0,9:11:00,35,1/15/2011,Sat,2,0,Beauty & Spas,13
http://www.groupon.com/atlanta/deals/allure-dance-studio-atlanta,Atlanta,120,85,71,398,1,0,10:16:00,50,1/15/2011,Sat,2,0,Arts and Entertainment,55
http://www.groupon.com/atlanta/deals/nutty-guys-atlanta-1,Atlanta,25,15,60,511,0,0,2:10:00,10,1/16/2011,Sun,1,0,Food & Drink,13
http://www.groupon.com/atlanta/deals/mixbook-atlanta,Atlanta,50,35,70,1089,0,0,7:20:00,25,1/16/2011,Sun,1,0,Shopping,54
http://www.groupon.com/atlanta/deals/atlanta-zumba-dance,Atlanta,48,33,69,1279,0,0,7:35:00,30,1/16/2011,Sun,1,1,Health & Fitness,147
http://www.groupon.com/atlanta/deals/posh-salon-spa,Atlanta,60,35,58,325,1,0,8:37:00,25,1/17/2011,Mon,1,0,Beauty & Spas,22
http://www.groupon.com/atlanta/deals/granger-dental-spa,Atlanta,400,341,85,137,0,0,8:57:00,10,1/17/2011,Mon,1,0,Health & Fitness,26
http://www.groupon.com/atlanta/deals/decorating-mart,Atlanta,100,65,65,1041,0,0,7:11:00,15,1/17/2011,Mon,1,0,Shopping,94
http://www.groupon.com/atlanta/deals/bibas-italian-restaurant,Atlanta,20,10,50,867,0,0,7:25:00,25,1/17/2011,Mon,1,0,Restaurants,55
http://www.groupon.com/atlanta/deals/the-pecan,Atlanta,20,10,50,246,0,0,9:37:00,50,1/17/2011,Mon,1,1,Restaurants,20
http://www.groupon.com/atlanta/deals/james-madison-salon,Atlanta,110,71,65,521,1,0,8:52:00,50,1/17/2011,Mon,1,0,Beauty & Spas,36
http://www.groupon.com/atlanta/deals/jai-shanti-yoga-atlanta,Atlanta,70,35,50,390,0,0,11:16:00,100,1/18/2011,Tue,1,1,Health & Fitness,90
http://www.groupon.com/atlanta/deals/partners-pizza,Atlanta,15,8,53,3324,0,0,6:15:00,30,1/18/2011,Tue,1,0,Other,349
http://www.groupon.com/atlanta/deals/the-beer-connoisseur-magazine,Atlanta,40,20,50,295,0,0,8:16:00,25,1/18/2011,Tue,1,0,Shopping,28
http://www.groupon.com/atlanta/deals/montenero-photography-atlanta,Atlanta,199,110,55,78,1,0,9:28:00,25,1/18/2011,Tue,1,0,Professional Services,18
