url,city,family_edition,value,you_save,discount_pct,num_sold,sold_out,started_at,weekday_start,duration,category,likes
https://livingsocial.com/deals/29649-30-to-spend-on-customized-gifts-for-kids,Atlanta,1,30,15,50,293,0,3/21/2011,Mon,7,Other,11
http://livingsocial.com/deals/30854-hour-long-in-office-teeth-whitening-treatment,Atlanta,0,299,214,72,874,0,3/25/2011,Fri,3,Health,12
http://livingsocial.com/deals/26996-100-to-spend-on-shoes,Atlanta,0,100,50,50,37,0,3/26/2011,Sat,2,Retail,13
http://partners.livingsocial.com/deals/23065-20-to-spend-on-food-and-drink,Atlanta,0,20,10,50,303,0,3/27/2011,Sun,1,Restaurant,6
http://partners.livingsocial.com/deals/25212-five-class-yoga-pass,Atlanta,0,60,35,58,1225,0,3/28/2011,Mon,1,Health,38
http://livingsocial.com/deals/28849-adult-art-classes-or-children-s-art-birthday-party,Atlanta,1,25,13,52,562,0,3/28/2011,Mon,7,Entertainment,29
https://livingsocial.com/deals/17149-hour-long-massage-and-chiropractic-consultation,Atlanta,0,85,46,54,635,0,3/29/2011,Tue,1,Beauty,29
https://livingsocial.com/deals/26817-10-to-spend-on-frozen-yogurt,Atlanta,0,10,5,50,356,0,3/30/2011,Wed,1,Specialty Food,24
https://livingsocial.com/deals/27364-wine-tasting-for-two,Atlanta,0,50,30,60,1246,0,3/31/2011,Thu,1,Entertainment,38
http://livingsocial.com/deals/20616-brazilian-global-keratin-treatment,Atlanta,0,250,125,50,218,0,4/1/2011,Fri,3,Beauty,13
http://livingsocial.com/deals/23492-20-to-spend-on-food-and-drink,Atlanta,0,20,10,50,424,0,4/2/2011,Sat,2,Restaurant,14
http://livingsocial.com/deals/28848-unlimited-boot-camp-classes,Atlanta,0,90,70,78,178,0,4/3/2011,Sun,1,Health,11
http://livingsocial.com/deals/29062-ten-bounce-passes-or-50-toward-a-birthday-party,Atlanta,1,40,25,63,192,0,4/4/2011,Mon,7,Entertainment,14
http://livingsocial.com/deals/20403-tennis-lessons,Atlanta,0,165,125,76,238,0,4/4/2011,Mon,1,Services,8
http://livingsocial.com/deals/28660-20-or-30-to-spend-on-food-and-drink,Atlanta,0,20,10,50,299,0,4/5/2011,Tue,1,Restaurant,10
http://livingsocial.com/deals/28844-half-day-whitewater-rafting-river-trip,Atlanta,0,49,25,51,1436,0,4/6/2011,Wed,1,Entertainment,108
http://livingsocial.com/deals/30932-carpet-cleaning-of-three-rooms-and-a-hallway,Atlanta,0,125,75,60,328,0,4/7/2011,Thu,1,Services,13
http://livingsocial.com/deals/31076-50-to-spend-on-food-and-drink,Atlanta,0,50,25,50,496,0,4/8/2011,Fri,3,Restaurant,17
http://livingsocial.com/deals/33190-one-89-or-three-199-zerona-treatments,Atlanta,0,332,243,73,450,0,4/9/2011,Sat,2,Beauty,11
